iter	MultiClass
0	3.671239973
1	3.65142015
2	3.617157901
3	3.57181273
4	3.537837374
5	3.505390495
6	3.480968301
7	3.447636917
8	3.413700649
9	3.37957229
10	3.344519692
11	3.31897416
12	3.271506333
13	3.228009805
14	3.191527476
15	3.166114892
16	3.123644101
17	3.096397675
18	3.068932595
19	3.026012879
20	2.993718705
21	2.956396521
22	2.931394848
23	2.89466899
24	2.861730681
25	2.842722199
26	2.804347981
27	2.77733412
28	2.746785791
29	2.724951609
30	2.69299529
31	2.66189487
32	2.647325155
33	2.63084759
34	2.613864768
35	2.578428922
36	2.545442851
37	2.523608359
38	2.496221571
39	2.482941543
40	2.460237837
41	2.437482426
42	2.412263625
43	2.388303876
44	2.374958398
45	2.356186243
46	2.340235254
47	2.317737896
48	2.297316847
49	2.276952071
50	2.260948934
51	2.23313417
52	2.206704996
53	2.178696142
54	2.16596129
55	2.143402506
56	2.125510289
57	2.101670634
58	2.075358602
59	2.062905775
60	2.043146986
61	2.018006655
62	2.002389684
63	1.985775309
64	1.976346576
65	1.961464906
66	1.959712636
67	1.947238033
68	1.936299351
69	1.926031738
70	1.915953592
71	1.892166002
72	1.862524738
73	1.848385984
74	1.832829927
75	1.823946831
76	1.806060418
77	1.795062564
78	1.791615214
79	1.782855571
80	1.771197474
81	1.760152759
82	1.743924793
83	1.736429895
84	1.723632699
85	1.704422098
86	1.694432558
87	1.676362824
88	1.658095538
89	1.645906286
90	1.6260539
91	1.607479671
92	1.600668723
93	1.588143095
94	1.579828686
95	1.571964569
96	1.56040633
97	1.545837598
98	1.53622562
99	1.522961429
100	1.515211519
101	1.500205863
102	1.492910634
103	1.485987348
104	1.476387003
105	1.466174832
106	1.457803056
107	1.448151536
108	1.43843848
109	1.429910746
110	1.414043192
111	1.401281787
112	1.390121934
113	1.38071686
114	1.36947108
115	1.363552372
116	1.353609563
117	1.345166565
118	1.33380532
119	1.323736821
120	1.309021029
121	1.302941412
122	1.295180164
123	1.286779479
124	1.279098956
125	1.268631861
126	1.257192505
127	1.250305209
128	1.243313902
129	1.232395153
130	1.226183184
131	1.218202118
132	1.210445805
133	1.199957624
134	1.194295044
135	1.186833646
136	1.178903947
137	1.172237107
138	1.167747556
139	1.160295952
140	1.15279684
141	1.139680556
142	1.134998173
143	1.126033518
144	1.120217772
145	1.112315876
146	1.106275974
147	1.09788957
148	1.091438418
149	1.08596735
150	1.079894263
151	1.071303165
152	1.062324758
153	1.056837649
154	1.052145972
155	1.04716428
156	1.035357734
157	1.030846759
158	1.025678245
159	1.017197058
160	1.012391783
161	1.007542506
162	1.00044087
163	0.98907439
164	0.9845216065
165	0.9799789832
166	0.9759032893
167	0.9713279186
168	0.9662174607
169	0.961383057
170	0.9561400115
171	0.9513978792
172	0.9466666031
173	0.942554515
174	0.9363822338
175	0.9318422262
176	0.9276509017
177	0.9235252587
178	0.9112755357
179	0.9069629842
180	0.9002300687
181	0.8960140286
182	0.8916000667
183	0.8880145204
184	0.8843424049
185	0.8765398854
186	0.8726920225
187	0.8689296969
188	0.8646108561
189	0.8604562269
190	0.8568768051
191	0.8527320112
192	0.8492726287
193	0.8455744656
194	0.8412223188
195	0.8376538917
196	0.8304314287
197	0.8258322401
198	0.8184532913
199	0.8090562572
